,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
315,316,I miss Purdue right now..,0.348,0.0,0.652,-0.1531
316,317,TAKE THAT STUPID UCLA!!!!!!!..,0.604,0.0,0.396,-0.6776
317,318,"By the way, I hate LONDON...",0.481,0.0,0.519,-0.5719
318,319,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",0.089,0.142,0.769,0.2724
319,320,Honda BMW-I like TOYOTA..,0.0,0.455,0.545,0.3612
320,321,"UCLA is stupid, I realized.",0.531,0.0,0.469,-0.5267
321,322,As much as I hate Tom Cruise..,0.425,0.0,0.575,-0.5719
322,323,I love Boston too!,0.0,0.692,0.308,0.6696
323,324,purdue girls are unattractive and i may just turn gay.,0.266,0.0,0.734,-0.4404
324,325,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
325,326,we had a light breakfast then took a cab to the shittiest part of london to have our meeting.,0.216,0.0,0.784,-0.6597
326,327,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...",0.125,0.0,0.875,-0.2846
327,328,I miss Purdue right now..,0.348,0.0,0.652,-0.1531
328,329,"San Francisco Coffee rocks, yo!",0.0,0.0,1.0,0.0
329,330,Tom Cruise still sucks.,0.455,0.0,0.545,-0.3612
330,331,"i got Mr. & Mrs. Smith, i love Angelina Jolie if you havent seen it your missing out.",0.113,0.216,0.67,0.4588
331,332,I love the Indiana Pacers..,0.0,0.583,0.417,0.6369
332,333,the stupid honda lol or a BUG!..,0.352,0.267,0.381,-0.2244
333,334,"AMAZING LONDON PHONE BOOTH ICON, IT'S LOVE,..",0.0,0.388,0.612,0.5859
334,335,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",0.0,0.259,0.741,0.6369
335,336,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
336,337,"anyway, shanghai is really beautiful ï¼Œ æ»¨æ±Ÿå¤§é“æ˜¯å¾ˆçµçš„å•¦ ï¼Œ é‚£ä¸ªstarbucksæ˜¯ä¸Šæµ·é£Žæ™¯æœ€å¥½çš„starbucks ~ ~!!!",0.0,0.36,0.64,0.7243
337,338,boston is great: ).,0.0,0.577,0.423,0.6249
338,339,I Love the new Capital One commercial with the gaurdian angel.,0.0,0.318,0.682,0.6369
339,340,Fresh Sony Vaio A Series info from Laptops And Acc. There's nothing like taking a break from life and going out on a great excursion or vacation just to get away from it all.,0.058,0.175,0.767,0.6474
340,341,I hate the exodus of subarus and honda crv's and volvos.,0.291,0.0,0.709,-0.5719
341,342,""" I find Hillary Clinton to be a great disappointment, "" Miss Sarandon told More magazine, for publication today...",0.233,0.195,0.571,0.0516
342,343,stupid lakers!!!!!!!!!!!,0.82,0.0,0.18,-0.6776
343,344,i love harvard.,0.0,0.808,0.192,0.6369
344,345,Boston was a great time for everyone.......,0.0,0.451,0.549,0.6249
345,346,Oh my god I LOVE Pommes mit Mayo.,0.0,0.584,0.416,0.7925
346,347,Have I told you I hate Tom Cruise?..,0.425,0.0,0.575,-0.5719
347,348,"Buy a Volkswagen, be cool.",0.0,0.434,0.566,0.3182
348,349,I miss London...,0.615,0.0,0.385,-0.1531
349,350,boston is great: ).,0.0,0.577,0.423,0.6249
350,351,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
351,352,Keep preaching to me how your Hyundai is just as good as a Ferrari.,0.0,0.195,0.805,0.4404
352,353,Three days at Purdue with three awesome people.,0.0,0.369,0.631,0.6249
353,354,i love shanghai ~ ~ ~ ~ å¤–æ»©å¥½åƒæœ‰ä¸€å®¶ä¸“å–ä¸Šæµ·çºªå¿µå“çš„å°åº— ~ ~ ~.,0.0,0.583,0.417,0.6369
354,355,Seattle sucks.,0.714,0.0,0.286,-0.3612
355,356,+ + + Bruce Willis hat den PrÃƒ Â¤ sident von Kolumbien verÃƒ Â¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,0.122,0.0,0.878,-0.4939
356,357,i love shanghai ~ ~ ~ ~ å¤–æ»©å¥½åƒæœ‰ä¸€å®¶ä¸“å–ä¸Šæµ·çºªå¿µå“çš„å°åº— ~ ~ ~.,0.0,0.583,0.417,0.6369
357,358,m getting tired of waiting for Core 2 Duo + MacBook Pro...,0.266,0.0,0.734,-0.4404
358,359,i love my honda...,0.0,0.677,0.323,0.6369
359,360,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
360,361,UCLA sucks...,0.0,0.0,1.0,0.0
361,362,shanghai is awesome...,0.0,0.0,1.0,0.0
362,363,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,0.358,0.0,0.642,-0.7717
363,364,the stupid honda lol or a BUG!..,0.352,0.267,0.381,-0.2244
364,365,MIT's Naxos Music Library subscription is AWESOME..,0.0,0.0,1.0,0.0
365,366,"Not spring in Seattle, no. I hate spring in Seattle.",0.457,0.0,0.543,-0.7096
366,367,& i adore my little honda < 3.,0.0,0.474,0.526,0.5574
367,368,TAKE THAT STUPID UCLA!!!!!!!..,0.604,0.0,0.396,-0.6776
368,369,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,0.358,0.0,0.642,-0.7717
369,370,i love our trips out to london pissed out of our faces on shitty booze...,0.339,0.183,0.478,-0.5574
370,371,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
371,372,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",0.064,0.052,0.884,-0.1027
372,373,London-Museums I really love the museums in London because there are a lot for me to see and they are free!,0.0,0.322,0.678,0.8436
373,374,"Shanghai is not only a good place for businessmen from Taiwan, but also a paradise for Taiwanese women, where they find the true value of their potential...",0.048,0.357,0.595,0.9169
374,375,I love UCLA but miss everyone from back home.,0.181,0.248,0.571,0.1779
375,376,The work experience and extracurricular section of the UIUC app is dumb...,0.0,0.0,1.0,0.0
376,377,"We wanted a Toyota Estima or similar but all they had was a Serena, so we took that.",0.0,0.0,1.0,0.0
377,378,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,0.464,0.0,0.536,-0.8553
378,379,I think it's pretty clear Angelina Jolie is an ignorant racist.,0.341,0.324,0.335,-0.0772
379,380,Seattle sucks!!,0.755,0.0,0.245,-0.4738
380,381,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,0.187,0.487,0.326,0.811
381,382,but the macbook looks so awesome.,0.0,0.596,0.404,0.8542
382,383,my beloved lakers take on cross-town rival clippers on tnt.,0.0,0.268,0.732,0.5106
383,384,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
384,385,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,0.0,0.345,0.655,0.836
385,386,i love seattle so much.,0.0,0.583,0.417,0.6369
386,387,I'd like to talk today about how much I hate Paris Hilton.....,0.243,0.164,0.592,-0.296
387,388,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
388,389,I love Harvard Square in the fall.,0.0,0.457,0.543,0.6369
389,390,And Tom Cruise is beautiful....,0.0,0.0,1.0,0.0
390,391,I liked Tom Cruise until he dumped Nicole Kidman.,0.235,0.243,0.522,0.0258
391,392,I absolutely love my MacBook Pro.,0.0,0.529,0.471,0.6697
392,393,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",0.103,0.0,0.897,-0.5487
393,394,The Lakers can suck me...,0.42,0.0,0.58,-0.4404
394,395,Seattle sucks!!,0.755,0.0,0.245,-0.4738
395,396,I like the sony vaio's but it seems they dont fit my budget.,0.185,0.121,0.694,-0.2299
396,397,"As much as I love the Lakers and Kobe, I still have to state the facts...",0.0,0.244,0.756,0.6369
397,398,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",0.315,0.073,0.612,-0.7311
398,399,i love my macbook...,0.0,0.677,0.323,0.6369
399,400,Tom Cruise needs to suck it up and so does Scientology in general.,0.195,0.0,0.805,-0.4404
400,401,I miss San Francisco where civilized people merely take pills before going to a club and spend all night drinking water....,0.082,0.0,0.918,-0.1531
401,402,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
402,403,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
403,404,Angelina Jolie plays an awesome Lisa Rowe.,0.0,0.55,0.45,0.7269
404,405,I LOVE PURDUE!..,0.0,0.818,0.182,0.6696
405,406,i love my honda...,0.0,0.677,0.323,0.6369
406,407,"I liked the silence at Harvard as well, despite students and tourists.",0.0,0.353,0.647,0.5994
407,408,i hate aaa right now.,0.552,0.0,0.448,-0.5719
408,409,I loathe Tom Cruise.,0.615,0.0,0.385,-0.4939
409,410,a beautiful'02 hyundai elantra that they had bought that day while i was at work.,0.0,0.0,1.0,0.0
410,411,"stupid, stupid UCLA..",0.872,0.0,0.128,-0.7783
411,412,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",0.203,0.11,0.687,-0.4019
412,413,"stupid, stupid UCLA..",0.872,0.0,0.128,-0.7783
413,414,cause obviously toyota dealer is cheating on my feelings..,0.31,0.0,0.69,-0.5574
414,415,"Me, myself, I prefer the Volkswagen Touareg Paris-Daker version like this one:.(",0.0,0.2,0.8,0.3612
415,416,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",0.123,0.044,0.833,-0.4588
416,417,"That ï¿½ s why I love Hyundai, I break it, they buy it!",0.0,0.333,0.667,0.6696
417,418,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,0.358,0.0,0.642,-0.7717
418,419,"if you're going to render your pictures, then i highly recommend the macbook pro intel core 2 duo.",0.0,0.157,0.843,0.4201
419,420,I needed San Francisco but not until a month ago.,0.0,0.0,1.0,0.0
420,421,", Boston is great...",0.0,0.0,1.0,0.0
421,422,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
422,423,I really hate Tom Cruise.,0.571,0.0,0.429,-0.6115
423,424,stupid lakers!!!!!!!!!!!,0.82,0.0,0.18,-0.6776
424,425,"Well, my job at GEICO has been great so far.",0.0,0.437,0.563,0.7351
425,426,I love ucla.,0.0,0.808,0.192,0.6369
426,427,i really hate Tom Cruise!!!,0.619,0.0,0.381,-0.7067
427,428,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
428,429,The one thing I really dislike about Shanghai is that...,0.266,0.0,0.734,-0.4391
429,430,i love mit and harvard both..,0.0,0.512,0.488,0.6369
430,431,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,0.288,0.0,0.712,-0.8173
431,432,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
432,433,Angelina Jolie is beautiful.,0.0,0.565,0.435,0.5994
433,434,"If God exists, why are morons like Paris Hilton considered beautiful?.(",0.154,0.309,0.537,0.3182
434,435,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
435,436,we need at least ONE beautiful girl at ucla.,0.0,0.328,0.672,0.5994
436,437,the tour guide before said that MIT sucked at sports but heres their moto:,0.133,0.0,0.867,-0.25
437,438,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",0.0,0.112,0.888,0.5994
438,439,I love the idea of volkswagen ( with a small V ) as platform.,0.0,0.344,0.656,0.6369
439,440,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",0.0,0.308,0.692,0.8687
440,441,boston college is good too < 33.,0.0,0.367,0.633,0.4404
441,442,Tom Cruise sucks.,0.556,0.0,0.444,-0.3612
442,443,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",0.089,0.142,0.769,0.2724
443,444,"Must find crappy San Francisco "" studio "" now.",0.375,0.0,0.625,-0.5574
444,445,I hear you on the traffic-Seattle traffic sucks....,0.0,0.0,1.0,0.0
445,446,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
446,447,"I love the London Little People, btw.",0.0,0.457,0.543,0.6369
447,448,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",0.0,0.091,0.909,0.296
448,449,I also like Boston.,0.0,0.556,0.444,0.3612
449,450,"With that said god i cant wait to go there, seattle is awesome.",0.0,0.383,0.617,0.7351
450,451,Toyota sucks!.,0.0,0.0,1.0,0.0
451,452,"Traffic in Seattle does stink, but it's a beautiful city to be stuck in.",0.221,0.272,0.508,0.4588
452,453,I FREAKING LOVE THE LAKERS!!,0.292,0.499,0.209,0.4559
453,454,london sucks....,0.0,0.0,1.0,0.0
454,455,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
455,456,I LOVE THOSE NEW VOLKSWAGEN COMMERCIALS!!..,0.0,0.545,0.455,0.6988
456,457,harvard sounds fucking awesome and i'd apply there if i had time to take subject tests...,0.0,0.239,0.761,0.659
457,458,AAA rocks.,0.0,0.0,1.0,0.0
458,459,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
459,460,"Lakers lost, that sucks, but they'll get game six and go on the beat the clippers.",0.195,0.0,0.805,-0.34
460,461,its not a'dream car'but i want a honda civic..,0.169,0.0,0.831,-0.0572
461,462,My Purdue Cal friends are awesome!..,0.0,0.404,0.596,0.5255
462,463,"Angelina Jolie was a great actress in Girl, Interrupted.",0.179,0.333,0.488,0.4404
463,464,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",0.13,0.076,0.794,-0.3595
464,465,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",0.07,0.079,0.85,0.0772
465,466,DAM NORTHWEST AIRLINES SUCK!....,0.0,0.0,1.0,0.0
466,467,i love our trips out to london pissed out of our faces on shitty booze...,0.339,0.183,0.478,-0.5574
467,468,I hate the Lakers...,0.649,0.0,0.351,-0.5719
468,469,"But, i do like the new 2007 Honda CR-V too.",0.0,0.238,0.762,0.3612
469,470,= D i love Tom Cruise!!!,0.0,0.717,0.283,0.7249
470,471,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
471,472,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",0.242,0.0,0.758,-0.6907
472,473,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",0.0,0.481,0.519,0.9493
473,474,I also love Boston Legal...,0.0,0.583,0.417,0.6369
474,475,I hate the Lakers...,0.649,0.0,0.351,-0.5719
475,476,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",0.0,0.481,0.519,0.9493
476,477,I used to like Tom Cruise but the Matt Lauer interview really turned me off.,0.0,0.119,0.881,0.1901
477,478,OH AND LAKERS SUCK!..,0.0,0.0,1.0,0.0
478,479,"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)",0.271,0.0,0.729,-0.6369
479,480,Locating the most select aaa travel norfolk virginia sites is frequently difficult.,0.185,0.0,0.815,-0.3612
480,481,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.,0.153,0.0,0.847,-0.4019
481,482,"as title, tho i hate london, i did love alittle bit about london..",0.219,0.249,0.533,0.128
482,483,There is a Taste of China right by GEICO that has great food.,0.0,0.272,0.728,0.6249
483,484,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,0.0,0.145,0.855,0.5994
484,485,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,0.0,0.119,0.881,0.5994
485,486,i love my honda...,0.0,0.677,0.323,0.6369
486,487,I love Boston too!,0.0,0.692,0.308,0.6696
487,488,"The Harvard-Yale study was depressing, she says, "" but my thought was,'I'm not a statistic.",0.13,0.0,0.87,-0.2023
488,489,"As a tourist, Shanghai is beautiful, if I have a job in there, may be diffrent, here have an article that is another angle to describe Shanghai â€™ s life...",0.0,0.135,0.865,0.5994
489,490,i love in seattle..,0.0,0.677,0.323,0.6369
490,491,I like honda civics!!!!!!.,0.0,0.647,0.353,0.5673
491,492,Susan Sontag beschÃ¤ftigte sich mit praktisch allen Problemen des Jahrhunderts und scheute keine Kontroverse-Grande Dame und enfant terrible zugleich...,0.147,0.0,0.853,-0.4767
492,493,stupid lakers.....,0.773,0.0,0.227,-0.5267
493,494,I LOVE Seattle!!,0.0,0.847,0.153,0.7592
494,495,"I'm biased, I love Angelina Jolie..",0.226,0.452,0.323,0.4767
495,496,. I'm pleased to announce that Boston sucked...,0.0,0.326,0.674,0.4404
496,497,tom cruise sucks.,0.556,0.0,0.444,-0.3612
497,498,Big thanks to the owner for helping me skip rush hour traffic and letting me fire off some shots of his beautiful Toyota..........,0.079,0.296,0.625,0.765
